<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	01:00:00	2624.65	2625.44	2624.48	2625.28	304	0	10
2025.01.02	01:05:00	2625.23	2625.69	2624.47	2625.20	190	0	10
2025.01.02	01:10:00	2625.29	2625.35	2624.35	2624.83	144	0	10
2025.01.02	01:15:00	2624.88	2625.12	2624.25	2624.33	164	0	7
2025.01.02	01:20:00	2624.43	2624.43	2623.48	2623.78	231	0	7
2025.01.02	01:25:00	2623.79	2624.08	2623.56	2623.66	139	0	7
2025.01.02	01:30:00	2623.67	2623.97	2623.24	2623.25	214	0	7
2025.01.02	01:35:00	2623.28	2623.74	2622.87	2622.98	136	0	7
2025.01.02	01:40:00	2622.98	2622.98	2621.97	2621.97	187	0	7
2025.01.02	01:45:00	2621.92	2623.38	2621.75	2623.16	175	0	7
2025.01.02	01:50:00	2623.17	2624.18	2623.16	2623.85	136	0	7
2025.01.02	01:55:00	2623.86	2624.48	2623.57	2623.81	166	0	7
2025.01.02	02:00:00	2623.91	2624.15	2622.73	2623.09	337	0	7
2025.01.02	02:05:00	2623.01	2625.55	2623.01	2625.55	190	0	7
2025.01.02	02:10:00	2625.56	2626.15	2625.15	2625.70	362	0	7
2025.01.02	02:15:00	2625.69	2625.80	2625.18	2625.72	304	0	7
2025.01.02	02:20:00	2625.69	2626.49	2625.58	2626.21	227	0	7
2025.01.02	02:25:00	2626.23	2626.45	2625.77	2626.36	221	0	7
2025.01.02	02:30:00	2626.32	2626.42	2625.46	2625.72	269	0	7
2025.01.02	02:35:00	2625.74	2626.45	2625.64	2626.30	226	0	7
2025.01.02	02:40:00	2626.42	2627.50	2626.08	2626.95	272	0	7
2025.01.02	02:45:00	2626.99	2627.87	2626.88	2626.88	310	0	7
2025.01.02	02:50:00	2626.89	2627.45	2626.62	2626.77	298	0	7
2025.01.02	02:55:00	2626.82	2626.95	2625.39	2625.39	502	0	7
2025.01.02	03:00:00	2625.37	2627.35	2623.86	2627.26	2092	0	7
2025.01.02	03:05:00	2627.27	2630.53	2627.24	2629.64	1558	0	7
2025.01.02	03:10:00	2629.63	2630.92	2629.55	2629.69	882	0	7
2025.01.02	03:15:00	2629.68	2632.08	2629.48	2631.52	1013	0	7
2025.01.02	03:20:00	2631.51	2631.79	2629.99	2631.53	908	0	7
2025.01.02	03:25:00	2631.54	2633.07	2630.48	2632.67	793	0	7
